      Step     Time          Energy          fmax
BFGS:    0 22:41:43     -940.903634        2.112090
BFGS:    1 22:41:54     -941.117914        2.010585
BFGS:    2 22:42:06     -941.755960        1.584782
BFGS:    3 22:42:18     -942.159997        0.696690
      Step     Time          Energy          fmax
BFGS:    0 22:43:16     -940.903634        2.112090
BFGS:    1 22:43:30     -941.117914        2.010585
BFGS:    2 22:43:51     -941.755960        1.584782
BFGS:    3 22:44:21     -942.159997        0.696690
BFGS:    4 22:44:43     -942.312084        0.380514
BFGS:    5 22:44:59     -942.330284        0.412877
BFGS:    6 22:45:13     -942.365421        0.377520
BFGS:    7 22:45:29     -942.404514        0.292150
BFGS:    8 22:45:46     -942.433302        0.209466
BFGS:    9 22:46:05     -942.443490        0.147476
BFGS:   10 22:46:34     -942.448549        0.131135
BFGS:   11 22:47:17     -942.456700        0.170746
BFGS:   12 22:47:57     -942.468451        0.175178
BFGS:   13 22:48:31     -942.476985        0.124296
BFGS:   14 22:49:00     -942.480585        0.116156
BFGS:   15 22:49:29     -942.483263        0.106504
BFGS:   16 22:49:57     -942.487230        0.096479
BFGS:   17 22:50:27     -942.492594        0.099612
BFGS:   18 22:50:58     -942.496412        0.096852
BFGS:   19 22:51:23     -942.497864        0.078968
BFGS:   20 22:51:50     -942.498879        0.071063
BFGS:   21 22:52:15     -942.500846        0.067572
BFGS:   22 22:52:46     -942.503614        0.068830
BFGS:   23 22:53:24     -942.505378        0.064250
BFGS:   24 22:54:02     -942.506100        0.065676
BFGS:   25 22:54:33     -942.506768        0.060397
BFGS:   26 22:55:04     -942.507983        0.048661
BFGS:   27 22:55:40     -942.509591        0.072524
BFGS:   28 22:56:03     -942.510548        0.064948
BFGS:   29 22:56:24     -942.510854        0.045514
BFGS:   30 22:56:53     -942.511105        0.050960
BFGS:   31 22:57:19     -942.511653        0.046503
BFGS:   32 22:57:48     -942.512432        0.053126
BFGS:   33 22:59:20     -942.512857        0.048059
BFGS:   34 22:59:30     -942.512951        0.046533
BFGS:   35 22:59:51     -942.513001        0.034687
BFGS:   36 23:00:05     -942.513203        0.028352
BFGS:   37 23:00:25     -942.513525        0.036260
BFGS:   38 23:00:47     -942.513685        0.026778
BFGS:   39 23:01:14     -942.513724        0.029511
BFGS:   40 23:01:51     -942.513764        0.025834
BFGS:   41 23:02:22     -942.513897        0.023129
BFGS:   42 23:02:46     -942.514066        0.023236
BFGS:   43 23:03:08     -942.514141        0.021667
BFGS:   44 23:03:31     -942.514172        0.016288
BFGS:   45 23:03:52     -942.514223        0.018070
BFGS:   46 23:04:22     -942.514323        0.018045
BFGS:   47 23:04:54     -942.514413        0.017435
BFGS:   48 23:11:47     -942.514448        0.015548
BFGS:   49 23:11:57     -942.514467        0.012456
BFGS:   50 23:12:10     -942.514500        0.012325
BFGS:   51 23:12:25     -942.514562        0.016541
BFGS:   52 23:12:40     -942.514610        0.017365
BFGS:   53 23:12:57     -942.514617        0.015469
BFGS:   54 23:13:14     -942.514615        0.013360
BFGS:   55 23:13:32     -942.514629        0.013948
BFGS:   56 23:13:53     -942.514676        0.012414
BFGS:   57 23:14:15     -942.514724        0.011258
BFGS:   58 23:14:41     -942.514744        0.009810
