found_minima,found_saddles,minima_l2_error_mean,minima_l2_error_stdv,minima_l2_error_max,saddle_l2_error_mean,saddle_l2_error_stdv,saddle_l2_error_max,bias_count,energy_calls_at_each_min,force_calls_at_each_min,run_id,seed,bias_std_dev_scale,bias_covariance,bias_height_fraction,bias_height,perturbation_size,optimizer
"[array([0.62349941, 0.02803776]), array([-0.0500185 ,  0.46669603]), array([-0.55822363,  1.44172584])]","[array([-0.22815115,  0.41772481]), array([0.287775  , 0.41863274]), array([-0.22815115,  0.41772481]), array([0.287775  , 0.41863274])]",2.6373743591908736e-06,3.729496887379865e-06,7.911679438080809e-06,0.30221381577347417,0.15573902106128962,0.45795283683476384,16,"[13, 198, 324]","[13, 198, 324]",130,61,0.2,0.012100000000000003,0.2,7.6000000000000005,0.01,Scipy
"[array([0.62349941, 0.02803776]), array([-0.05022233,  0.46674856]), array([-0.55822363,  1.44172584])]","[array([0.17776677, 0.1981016 ]), array([-0.44754468,  0.3210962 ]), array([0.17776677, 0.1981016 ]), array([-0.44754468,  0.3210962 ])]",7.280170949613348e-05,0.00010295683876203117,0.00021840466721245692,0.29143371182819877,0.1903943303837287,0.4818280422119275,30,"[13, 690, 1069]","[13, 690, 1069]",125,111,0.2,0.012100000000000003,0.2,7.6000000000000005,0.1,Scipy
"[array([0.62349941, 0.02803776]), array([-0.05002681,  0.46669827]), array([-0.55822363,  1.44172584])]","[array([0.20066479, 0.43393201]), array([-0.29990781,  0.47749502]), array([0.20066479, 0.43393201]), array([-0.29990781,  0.47749502])]",5.50652227805024e-06,7.787106994624425e-06,1.651915460140457e-05,0.34189145063902554,0.20045285667369409,0.5423443073127197,30,"[13, 880, 985]","[13, 880, 985]",155,111,0.2,0.012100000000000003,0.1,3.8000000000000003,0.01,Scipy
"[array([0.62349941, 0.02803776]), array([-0.05001527,  0.4666952 ]), array([-0.55822363,  1.44172584])]","[array([0.25322443, 0.37891654]), array([0.11467562, 0.27238679]), array([0.25322443, 0.37891654]), array([0.11467562, 0.27238679])]",1.5256783051583924e-06,2.157182373750191e-06,4.57639487341472e-06,0.09752646545715737,0.00243055856826703,0.09995702402542442,22,"[13, 747, 1346]","[13, 747, 1346]",131,111,0.2,0.012100000000000003,0.2,7.6000000000000005,0.01,Scipy
"[array([0.62349941, 0.02803776]), array([-0.55822363,  1.44172584]), array([-0.05007108,  0.46670998])]","[array([0.28306364, 0.00197003]), array([-1.10184198,  0.83701971]), array([0.28306364, 0.00197003]), array([-1.10184198,  0.83701971])]",2.0769667241808606e-05,2.9372434739150013e-05,6.23085628098223e-05,0.3254789363096592,0.0260248189701702,0.3515037552798294,64,"[13, 601, 2705]","[13, 601, 2705]",135,42,0.2,0.012100000000000003,0.2,7.6000000000000005,0.001,Scipy
"[array([0.62349941, 0.02803776]), array([-0.05005945,  0.46670722]), array([-0.55822363,  1.44172584])]","[array([-0.0238117 ,  0.46722024]), array([0.13393527, 0.1680847 ]), array([-0.0238117 ,  0.46722024]), array([0.13393527, 0.1680847 ])]",1.6788196871208872e-05,2.3741687258563242e-05,5.0364012985852276e-05,0.22056914018773316,0.07301839225898417,0.2935875324467173,20,"[13, 886, 1042]","[13, 886, 1042]",136,61,0.2,0.012100000000000003,0.2,7.6000000000000005,0.001,Scipy
"[array([0.62349941, 0.02803776]), array([-0.05001527,  0.4666952 ]), array([-0.55822363,  1.44172584])]","[array([0.25396318, 0.36951615]), array([0.01929457, 0.22815391]), array([0.25396318, 0.36951615]), array([0.01929457, 0.22815391])]",1.5257288943797645e-06,2.1571238453668598e-06,4.576362686158266e-06,0.14541290210710656,0.058367994721326324,0.20378089682843287,30,"[13, 372, 815]","[13, 372, 815]",137,111,0.2,0.012100000000000003,0.2,7.6000000000000005,0.001,Scipy
"[array([0.62349941, 0.02803776]), array([-0.05001527,  0.4666952 ]), array([-0.55822363,  1.44172584])]","[array([0.21650454, 0.27942139]), array([-0.85078445,  0.62478004]), array([0.21650454, 0.27942139]), array([-0.85078445,  0.62478004])]",1.527811856526053e-06,2.1587611570509118e-06,4.5807611385400094e-06,0.021468044627141133,0.007318639370152765,0.028786683997293897,46,"[104, 2196, 6623]","[104, 2196, 6623]",140,111,0.2,0.012100000000000003,0.2,7.6000000000000005,0.0001,FIRE
"[array([0.62349941, 0.02803776]), array([-0.05007107,  0.46670998]), array([-0.55822363,  1.44172584])]","[array([0.12366514, 0.15039324]), array([-0.84505342,  0.60134027]), array([0.12366514, 0.15039324]), array([-0.84505342,  0.60134027])]",2.0768687402482607e-05,2.9370309889716805e-05,6.230457797851797e-05,0.10027003079351758,0.06772582445707791,0.1679958552505955,68,"[104, 1667, 9057]","[104, 1667, 9057]",120,42,0.2,0.012100000000000003,0.2,7.6000000000000005,0.1,FIRE
"[array([0.62349941, 0.02803776]), array([-0.05007108,  0.46670998]), array([-0.55822363,  1.44172584])]","[array([0.12709664, 0.1286696 ]), array([-0.83739804,  0.62382997]), array([0.12709664, 0.1286696 ]), array([-0.83739804,  0.62382997])]",2.0771575230236868e-05,2.9373932358008664e-05,6.231258875109641e-05,0.10029263679324353,0.0848885889220225,0.18518122571526605,55,"[104, 1706, 7499]","[104, 1706, 7499]",132,42,0.2,0.012100000000000003,0.2,7.6000000000000005,0.001,FIRE
"[array([0.62349941, 0.02803776]), array([-0.05007107,  0.46670998]), array([-0.55822363,  1.44172584])]","[array([0.13039776, 0.17478577]), array([-0.85895295,  0.59210595]), array([0.13039776, 0.17478577]), array([-0.85895295,  0.59210595])]",2.0768982092604274e-05,2.936971205655918e-05,6.230402720265557e-05,0.09646417595766882,0.04744697376727141,0.14391114972494023,68,"[104, 1654, 9146]","[104, 1654, 9146]",126,42,0.2,0.012100000000000003,0.2,7.6000000000000005,0.01,FIRE
"[array([0.62349941, 0.02803776]), array([-0.55822363,  1.44172584]), array([-0.05007108,  0.46670998])]","[array([0.12024124, 0.46374954]), array([-0.98591283,  0.65071091]), array([0.12024124, 0.46374954]), array([-0.98591283,  0.65071091])]",2.0769742427710463e-05,2.9372540743946798e-05,6.230878790914564e-05,0.18005369122956832,0.01403030119080606,0.19408399242037438,87,"[13, 350, 3904]","[13, 350, 3904]",141,42,0.2,0.012100000000000003,0.2,7.6000000000000005,0.0001,Scipy
"[array([0.62349941, 0.02803776]), array([-0.0500698 ,  0.46670972]), array([-0.55822363,  1.44172584])]","[array([0.25481354, 0.32392299]), array([-0.82418608,  0.61672693]), array([0.25481354, 0.32392299]), array([-0.82418608,  0.61672693])]",2.0338630869569384e-05,2.8760571858757507e-05,6.101222164250474e-05,0.03016026326896692,0.02226611070961423,0.05242637397858115,84,"[104, 2989, 11505]","[104, 2989, 11505]",150,42,0.2,0.012100000000000003,0.1,3.8000000000000003,0.01,FIRE
"[array([0.62349941, 0.02803776]), array([-0.05005945,  0.46670722]), array([-0.55822363,  1.44172584])]","[array([0.26831296, 0.30494603]), array([-0.83910408,  0.58898447]), array([0.26831296, 0.30494603]), array([-0.83910408,  0.58898447])]",1.679068212708187e-05,2.3742996793543903e-05,5.0368350189754205e-05,0.04817148925103951,0.008921168879887038,0.05709265813092655,32,"[104, 1877, 4471]","[104, 1877, 4471]",133,61,0.2,0.012100000000000003,0.2,7.6000000000000005,0.001,FIRE
"[array([0.62349941, 0.02803776]), array([-0.55822363,  1.44172584]), array([-0.05005945,  0.46670722])]","[array([ 0.28808673, -0.02195742]), array([0.15023838, 0.54546436]), array([ 0.28808673, -0.02195742]), array([0.15023838, 0.54546436])]",1.678797337978213e-05,2.374143358725362e-05,5.036343074905631e-05,0.29196439026664583,0.03192787886324738,0.3238922691298932,62,"[13, 345, 2209]","[13, 345, 2209]",142,61,0.2,0.012100000000000003,0.2,7.6000000000000005,0.0001,Scipy
"[array([0.62349941, 0.02803776]), array([-0.05001527,  0.4666952 ]), array([-0.55822363,  1.44172584])]","[array([0.25479658, 0.38489419]), array([-0.24180071,  0.33107747]), array([0.25479658, 0.38489419]), array([-0.24180071,  0.33107747])]",1.525767464726676e-06,2.157440700696495e-06,4.576849363588571e-06,0.27852922727890145,0.17735203563017968,0.4558812629090811,30,"[13, 875, 1399]","[13, 875, 1399]",143,111,0.2,0.012100000000000003,0.2,7.6000000000000005,0.0001,Scipy
