run_id,saddle_error_mean,saddle_error_stdv,minima_error_mean,minima_error_stdv,bias_count_mean,bias_count_stdv,energy_calls_mean,energy_calls_stdv,force_calls_mean,force_calls_stdv,bias_std_dev_scale,bias_covariance,bias_height_fraction,bias_height,perturbation_size,optimizer
0,0.04286436684554972,0.008272427627450495,1.162261067928338e-06,1.1627550085905882e-06,2000.0,0.0,"[104.0, 4818.666666666667]","[0.0, 693.428358872702]","[104.0, 4818.666666666667]","[0.0, 693.428358872702]",0.3333333333333333,0.0336111111111111,0.2,7.6,0.1,FIRE
1,0.255112456393855,0.0771803136072455,6.870728455671442e-08,1.4920671022745588e-07,2000.0,0.0,"[13.0, 1019.6666666666666]","[0.0, 605.8439476374167]","[13.0, 1019.6666666666666]","[0.0, 605.8439476374167]",0.3333333333333333,0.0336111111111111,0.2,7.6,0.1,Scipy
2,0.03628571863688755,0.014829242696786565,1.1880061349117921e-06,1.1906684776343658e-06,2000.0,0.0,"[104.0, 4745.333333333333]","[0.0, 1299.3388917274644]","[104.0, 4745.333333333333]","[0.0, 1299.3388917274644]",0.3333333333333333,0.0336111111111111,0.2,7.6,0.01,FIRE
3,0.27747256415986704,0.05735427159869673,1.5917141823116847e-07,2.516236468158409e-07,2000.0,0.0,"[13.0, 1026.0]","[0.0, 226.90526657616388]","[13.0, 1026.0]","[0.0, 226.90526657616388]",0.3333333333333333,0.0336111111111111,0.2,7.6,0.01,Scipy
4,0.027672117734879625,0.006397997555696379,1.2054176128815522e-06,1.208388063536299e-06,2000.0,0.0,"[104.0, 3454.3333333333335]","[0.0, 613.9849799103847]","[104.0, 3454.3333333333335]","[0.0, 613.9849799103847]",0.3333333333333333,0.0336111111111111,0.2,7.6,0.001,FIRE
5,0.2277554065129532,0.02942691658034992,4.256220620573609e-07,8.430772169094496e-07,2000.0,0.0,"[13.0, 638.0]","[0.0, 587.5548201373781]","[13.0, 638.0]","[0.0, 587.5548201373781]",0.3333333333333333,0.0336111111111111,0.2,7.6,0.001,Scipy
6,0.04925988491873696,0.013698615980258446,1.1866937195980455e-06,1.1897022104092327e-06,2000.0,0.0,"[104.0, 4365.333333333333]","[0.0, 1417.9525928448934]","[104.0, 4365.333333333333]","[0.0, 1417.9525928448934]",0.3333333333333333,0.0336111111111111,0.2,7.6,0.0001,FIRE
7,0.3486512812246774,0.013072093542307229,9.439407589453729e-07,1.0098642699189631e-06,2000.0,0.0,"[13.0, 1268.0]","[0.0, 569.2738064118765]","[13.0, 1268.0]","[0.0, 569.2738064118765]",0.3333333333333333,0.0336111111111111,0.2,7.6,0.0001,Scipy
8,0.03391821369932995,0.01590662931931167,1.1226668128470863e-06,1.1293741160855862e-06,2000.0,0.0,"[104.0, 10257.666666666666]","[0.0, 374.668149463258]","[104.0, 10257.666666666666]","[0.0, 374.668149463258]",0.3333333333333333,0.0336111111111111,0.1,3.8,0.1,FIRE
9,0.29230548877775003,0.10093199864904602,5.71024458738898e-08,9.516289896912306e-08,2000.0,0.0,"[13.0, 755.0]","[0.0, 212.67972791657098]","[13.0, 755.0]","[0.0, 212.67972791657098]",0.3333333333333333,0.0336111111111111,0.1,3.8,0.1,Scipy
10,0.04003555852949549,0.01042579041870249,8.965020823236729e-07,9.02072068340332e-07,2000.0,0.0,"[104.0, 7487.666666666667]","[0.0, 2388.373551650207]","[104.0, 7487.666666666667]","[0.0, 2388.373551650207]",0.3333333333333333,0.0336111111111111,0.1,3.8,0.01,FIRE
11,0.24903459564921512,0.06511857800027952,1.3409563335569505e-07,1.522663054848466e-07,2000.0,0.0,"[13.0, 1047.6666666666667]","[0.0, 248.2798600146393]","[13.0, 1047.6666666666667]","[0.0, 248.2798600146393]",0.3333333333333333,0.0336111111111111,0.1,3.8,0.01,Scipy
12,0.03700226642446306,0.00629065315227216,9.318958223121462e-07,9.3988661177701e-07,2000.0,0.0,"[104.0, 7367.333333333333]","[0.0, 1919.8917214838505]","[104.0, 7367.333333333333]","[0.0, 1919.8917214838505]",0.3333333333333333,0.0336111111111111,0.1,3.8,0.001,FIRE
13,0.1895509769312018,0.11433578683521342,3.6247123268132743e-07,7.181211170704467e-07,2000.0,0.0,"[13.0, 1499.3333333333333]","[0.0, 530.6048959023612]","[13.0, 1499.3333333333333]","[0.0, 530.6048959023612]",0.3333333333333333,0.0336111111111111,0.1,3.8,0.001,Scipy
14,0.022890090399133003,0.005011294573881959,8.751602346177889e-07,8.752587600893803e-07,2000.0,0.0,"[104.0, 7823.666666666667]","[0.0, 1763.3722112916364]","[104.0, 7823.666666666667]","[0.0, 1763.3722112916364]",0.3333333333333333,0.0336111111111111,0.1,3.8,0.0001,FIRE
15,0.2362301269509853,0.09750180563039773,7.131391193164638e-07,8.382119440940178e-07,2000.0,0.0,"[13.0, 2427.6666666666665]","[0.0, 423.0227206926624]","[13.0, 2427.6666666666665]","[0.0, 423.0227206926624]",0.3333333333333333,0.0336111111111111,0.1,3.8,0.0001,Scipy
16,0.027564333970950105,0.011503253848104347,8.741351455707319e-07,8.744261436120439e-07,2000.0,0.0,"[104.0, 24310.666666666668]","[0.0, 607.1827475224316]","[104.0, 24310.666666666668]","[0.0, 607.1827475224316]",0.3333333333333333,0.0336111111111111,0.0333333333333333,1.2666666666666666,0.1,FIRE
17,0.30144181570838124,0.0368861566321106,5.778806678632993e-08,9.359775286305867e-08,2000.0,0.0,"[13.0, 2668.0]","[0.0, 637.5876410345483]","[13.0, 2668.0]","[0.0, 637.5876410345483]",0.3333333333333333,0.0336111111111111,0.0333333333333333,1.2666666666666666,0.1,Scipy
18,0.04108652429724976,0.008685397123116608,8.832088222666535e-07,8.887681604243296e-07,2000.0,0.0,"[104.0, 24308.666666666668]","[0.0, 1015.7326857440835]","[104.0, 24308.666666666668]","[0.0, 1015.7326857440835]",0.3333333333333333,0.0336111111111111,0.0333333333333333,1.2666666666666666,0.01,FIRE
19,0.2271003064313973,0.040079242300629356,1.6666666935449825e-09,3.726780022601391e-09,2000.0,0.0,"[13.0, 3088.0]","[0.0, 563.4631014242784]","[13.0, 3088.0]","[0.0, 563.4631014242784]",0.3333333333333333,0.0336111111111111,0.0333333333333333,1.2666666666666666,0.01,Scipy
20,0.01900516175952324,0.006316057438705198,8.988440161264249e-07,9.009787833493074e-07,2000.0,0.0,"[104.0, 22789.333333333332]","[0.0, 1200.2003536447107]","[104.0, 22789.333333333332]","[0.0, 1200.2003536447107]",0.3333333333333333,0.0336111111111111,0.0333333333333333,1.2666666666666666,0.001,FIRE
