found_minima,found_saddles,bias_count,energy_calls_at_each_min,force_calls_at_each_min,run_id,seed,bias_std_dev_scale,bias_covariance,bias_height_fraction,bias_height,perturbation_size,optimizer
"[array([0.62349941, 0.02803776]), array([-0.05001081,  0.46669411]), array([-0.55822363,  1.44172584])]","[array([0.29353161, 0.46806191]), array([-0.26902956,  1.02883063]), array([0.29353161, 0.46806191]), array([-0.26902956,  1.02883063])]",4,"[13, 24, 55]","[13, 24, 55]",414,5,0.2,0.012100000000000003,0.2,7.6000000000000005,0.55,Scipy
"[array([0.62349941, 0.02803776]), array([-0.05002696,  0.46669827]), array([-0.55822363,  1.44172584])]","[array([-0.04252127,  0.46571225]), array([-0.05904937,  0.46238595]), array([-0.04252127,  0.46571225]), array([-0.05904937,  0.46238595])]",13,"[13, 209, 230]","[13, 209, 230]",437,8,0.2,0.012100000000000003,0.2,7.6000000000000005,0.01,Scipy
"[array([0.62349941, 0.02803776]), array([-0.05002056,  0.46669603]), array([-0.55822365,  1.44172582])]","[array([1.12421713, 0.25559379]), array([ 1.00533396, -0.36782112]), array([1.12421713, 0.25559379]), array([ 1.00533396, -0.36782112])]",8,"[13, 40, 110]","[13, 40, 110]",253,4,0.3333333333333333,0.03361111111111112,0.02,0.76,0.55,Scipy
"[array([0.62349941, 0.02803776]), array([-0.05008374,  0.46670849]), array([-0.5582234 ,  1.44172617])]","[array([1.0107558 , 0.41859183]), array([1.17546579, 0.37893613]), array([1.0107558 , 0.41859183]), array([1.17546579, 0.37893613])]",23,"[13, 56, 354]","[13, 56, 354]",92,3,0.3333333333333333,0.03361111111111112,0.1,3.8000000000000003,0.55,Scipy
"[array([0.62349941, 0.02803776]), array([-0.0500595,  0.4667037]), array([-0.55822351,  1.44172603])]","[array([0.42965194, 0.54274462]), array([-0.45511291,  0.05607548]), array([0.42965194, 0.54274462]), array([-0.45511291,  0.05607548])]",6,"[101, 225, 801]","[101, 225, 801]",0,1,0.3333333333333333,0.03361111111111112,0.2,7.6000000000000005,0.55,FIRE
"[array([0.62349941, 0.02803776]), array([-0.05001083,  0.4666941 ]), array([-0.55822363,  1.44172584])]","[array([ 1.12919142, -0.18823888]), array([ 0.66603058, -0.47656457]), array([ 1.12919142, -0.18823888]), array([ 0.66603058, -0.47656457])]",7,"[13, 24, 89]","[13, 24, 89]",415,6,0.2,0.012100000000000003,0.2,7.6000000000000005,0.55,Scipy
"[array([0.62349941, 0.02803776]), array([-0.05005946,  0.4667037 ]), array([-0.55822363,  1.44172584])]","[array([1.12421713, 0.25559379]), array([ 1.00534842, -0.3678229 ]), array([1.12421713, 0.25559379]), array([ 1.00534842, -0.3678229 ])]",8,"[13, 40, 119]","[13, 40, 119]",93,4,0.3333333333333333,0.03361111111111112,0.1,3.8000000000000003,0.55,Scipy
"[array([0.62349941, 0.02803776]), array([-0.05010114,  0.466718  ]), array([-0.55822363,  1.44172584])]","[array([0.13969082, 0.04050464]), array([-0.34936194,  0.4668627 ]), array([0.13969082, 0.04050464]), array([-0.34936194,  0.4668627 ])]",23,"[13, 303, 453]","[13, 303, 453]",438,9,0.2,0.012100000000000003,0.2,7.6000000000000005,0.01,Scipy
"[array([0.62349941, 0.02803776]), array([-0.05001083,  0.46669411]), array([-0.55822363,  1.44172584])]","[array([0.16460483, 0.33121389]), array([ 0.5454749 , -0.51630382]), array([0.16460483, 0.33121389]), array([ 0.5454749 , -0.51630382])]",10,"[13, 26, 186]","[13, 26, 186]",416,7,0.2,0.012100000000000003,0.2,7.6000000000000005,0.55,Scipy
"[array([0.62349941, 0.02803776]), array([-0.05001088,  0.46669411]), array([-0.55822361,  1.44172586])]","[array([ 1.09692223, -0.37299876]), array([-0.53330035,  0.86570186]), array([ 1.09692223, -0.37299876]), array([-0.53330035,  0.86570186])]",11,"[101, 1046, 1323]","[101, 1046, 1323]",483,4,0.2,0.012100000000000003,0.1,3.8000000000000003,0.55,FIRE
"[array([0.62349941, 0.02803776]), array([-0.05003515,  0.4666989 ]), array([-0.55822361,  1.44172588])]","[array([0.29353161, 0.46806191]), array([ 0.32355849, -0.43296322]), array([0.29353161, 0.46806191]), array([ 0.32355849, -0.43296322])]",8,"[13, 24, 125]","[13, 24, 125]",94,5,0.3333333333333333,0.03361111111111112,0.1,3.8000000000000003,0.55,Scipy
"[array([0.62349941, 0.02803776]), array([-0.55822363,  1.44172584]), array([-0.05001082,  0.4666941 ])]","[array([0.96629572, 0.45814319]), array([0.07037616, 1.31342918]), array([0.96629572, 0.45814319]), array([0.07037616, 1.31342918])]",10,"[13, 31, 161]","[13, 31, 161]",417,8,0.2,0.012100000000000003,0.2,7.6000000000000005,0.55,Scipy
"[array([0.62349941, 0.02803776]), array([-0.05003515,  0.46669891]), array([-0.55822363,  1.44172584])]","[array([ 1.12919142, -0.18823888]), array([ 0.8131137 , -0.48824987]), array([ 1.12919142, -0.18823888]), array([ 0.8131137 , -0.48824987])]",7,"[13, 25, 114]","[13, 25, 114]",95,6,0.3333333333333333,0.03361111111111112,0.1,3.8000000000000003,0.55,Scipy
"[array([0.62349941, 0.02803776]), array([-0.05002448,  0.46669759]), array([-0.55822363,  1.44172584])]","[array([0.07346854, 0.28567696]), array([-0.42141585,  0.49453633]), array([0.07346854, 0.28567696]), array([-0.42141585,  0.49453633])]",23,"[13, 253, 404]","[13, 253, 404]",439,10,0.2,0.012100000000000003,0.2,7.6000000000000005,0.01,Scipy
"[array([0.62349941, 0.02803776]), array([-0.05003516,  0.46669891]), array([-0.5582236 ,  1.44172589])]","[array([0.16460483, 0.33121389]), array([ 0.62496384, -0.52196397]), array([0.16460483, 0.33121389]), array([ 0.62496384, -0.52196397])]",8,"[13, 26, 123]","[13, 26, 123]",96,7,0.3333333333333333,0.03361111111111112,0.1,3.8000000000000003,0.55,Scipy
"[array([0.62349941, 0.02803776]), array([-0.05001082,  0.46669411]), array([-0.55822363,  1.44172584])]","[array([ 0.66143957, -0.5245615 ]), array([1.28540168, 0.23270575]), array([ 0.66143957, -0.5245615 ]), array([1.28540168, 0.23270575])]",12,"[13, 40, 168]","[13, 40, 168]",418,9,0.2,0.012100000000000003,0.2,7.6000000000000005,0.55,Scipy
"[array([0.62349941, 0.02803776]), array([-0.05120684,  0.46695903]), array([-0.55822355,  1.44172596])]","[array([ 0.95846085, -0.40819709]), array([-0.40963997,  0.04979516]), array([ 0.95846085, -0.40819709]), array([-0.40963997,  0.04979516])]",9,"[101, 590, 1144]","[101, 590, 1144]",1,2,0.3333333333333333,0.03361111111111112,0.2,7.6000000000000005,0.55,FIRE
"[array([0.62349941, 0.02803776]), array([-0.55822363,  1.44172584]), array([-0.05003509,  0.46669889])]","[array([0.96629572, 0.45814319]), array([0.01536913, 1.25842243]), array([0.96629572, 0.45814319]), array([0.01536913, 1.25842243])]",10,"[13, 31, 145]","[13, 31, 145]",97,8,0.3333333333333333,0.03361111111111112,0.1,3.8000000000000003,0.55,Scipy
"[array([0.62349941, 0.02803776]), array([-0.05001085,  0.46669411]), array([-0.55822363,  1.44172584])]","[array([ 0.89446485, -0.45058289]), array([ 0.66480407, -0.52459004]), array([ 0.89446485, -0.45058289]), array([ 0.66480407, -0.52459004])]",7,"[13, 31, 119]","[13, 31, 119]",419,10,0.2,0.012100000000000003,0.2,7.6000000000000005,0.55,Scipy
"[array([0.62349941, 0.02803776]), array([-0.05001568,  0.46669507]), array([-0.55822363,  1.44172585])]","[array([0.29353161, 0.46806191]), array([ 0.83937534, -0.47783288]), array([0.29353161, 0.46806191]), array([ 0.83937534, -0.47783288])]",22,"[13, 24, 999]","[13, 24, 999]",254,5,0.3333333333333333,0.03361111111111112,0.02,0.76,0.55,Scipy
"[array([0.62349941, 0.02803776]), array([-0.05005946,  0.4667037 ]), array([-0.55822361,  1.44172588])]","[array([ 0.61715118, -0.5219256 ]), array([ 1.1730915, -0.2876966]), array([ 0.61715118, -0.5219256 ]), array([ 1.1730915, -0.2876966])]",17,"[13, 41, 280]","[13, 41, 280]",98,9,0.3333333333333333,0.03361111111111112,0.1,3.8000000000000003,0.55,Scipy
"[array([0.62349941, 0.02803776]), array([-0.05001571,  0.46669506]), array([-0.55822363,  1.44172584])]","[array([ 1.12919142, -0.18823888]), array([ 0.81310351, -0.48824839]), array([ 1.12919142, -0.18823888]), array([ 0.81310351, -0.48824839])]",11,"[13, 24, 168]","[13, 24, 168]",255,6,0.3333333333333333,0.03361111111111112,0.02,0.76,0.55,Scipy
