found_minima,found_saddles,bias_count,energy_calls_at_each_min,force_calls_at_each_min,run_id,seed,bias_std_dev_scale,bias_covariance,bias_height_fraction,bias_height,perturbation_size,optimizer
"[array([0.62349941, 0.02803776]), array([-0.05003516,  0.46669891]), array([-0.5582236 ,  1.44172589])]","[array([0.16460483, 0.33121389]), array([ 0.62496384, -0.52196397]), array([0.16460483, 0.33121389]), array([ 0.62496384, -0.52196397])]",8,"[13, 26, 123]","[13, 26, 123]",96,7,0.3333333333333333,0.03361111111111112,0.1,3.8000000000000003,0.55,Scipy
"[array([0.62349941, 0.02803776]), array([-0.05005946,  0.4667037 ]), array([-0.5582235 ,  1.44172603])]","[array([0.16460483, 0.33121389]), array([ 0.62503905, -0.52197334]), array([0.16460483, 0.33121389]), array([ 0.62503905, -0.52197334])]",8,"[13, 26, 128]","[13, 26, 128]",16,7,0.3333333333333333,0.03361111111111112,0.2,7.6000000000000005,0.55,Scipy
"[array([0.62349941, 0.02803776]), array([-0.05001083,  0.46669411]), array([-0.55822363,  1.44172584])]","[array([0.16460483, 0.33121389]), array([ 0.5454749 , -0.51630382]), array([0.16460483, 0.33121389]), array([ 0.5454749 , -0.51630382])]",10,"[13, 26, 186]","[13, 26, 186]",416,7,0.2,0.012100000000000003,0.2,7.6000000000000005,0.55,Scipy
"[array([0.62349941, 0.02803776]), array([-0.55822364,  1.44172584]), array([-0.05005939,  0.46670368])]","[array([0.96629572, 0.45814319]), array([-0.01013448,  1.48753277]), array([0.96629572, 0.45814319]), array([-0.01013448,  1.48753277])]",6,"[13, 30, 78]","[13, 30, 78]",17,8,0.3333333333333333,0.03361111111111112,0.2,7.6000000000000005,0.55,Scipy
"[array([0.62349941, 0.02803776]), array([-0.05568354,  0.46800661]), array([-0.55822342,  1.44172616])]","[array([0.20304532, 0.12293706]), array([-0.31081974,  0.50490961]), array([0.20304532, 0.12293706]), array([-0.31081974,  0.50490961])]",19,"[13, 166, 267]","[13, 166, 267]",32,3,0.3333333333333333,0.03361111111111112,0.2,7.6000000000000005,0.01,Scipy
"[array([0.62349941, 0.02803776]), array([-0.55822363,  1.44172584]), array([-0.05003509,  0.46669889])]","[array([0.96629572, 0.45814319]), array([0.01536913, 1.25842243]), array([0.96629572, 0.45814319]), array([0.01536913, 1.25842243])]",10,"[13, 31, 145]","[13, 31, 145]",97,8,0.3333333333333333,0.03361111111111112,0.1,3.8000000000000003,0.55,Scipy
"[array([0.62349941, 0.02803776]), array([-0.55822363,  1.44172584]), array([-0.05001082,  0.4666941 ])]","[array([0.96629572, 0.45814319]), array([0.07037616, 1.31342918]), array([0.96629572, 0.45814319]), array([0.07037616, 1.31342918])]",10,"[13, 31, 161]","[13, 31, 161]",417,8,0.2,0.012100000000000003,0.2,7.6000000000000005,0.55,Scipy
"[array([0.62349941, 0.02803776]), array([-0.05001326,  0.46669459]), array([-0.55822363,  1.44172584])]","[array([0.16460483, 0.33121389]), array([ 1.03300685, -0.33912747]), array([0.16460483, 0.33121389]), array([ 1.03300685, -0.33912747])]",27,"[13, 26, 405]","[13, 26, 405]",336,7,0.3333333333333333,0.03361111111111112,0.01,0.38,0.55,Scipy
"[array([0.62349941, 0.02803776]), array([-0.05153298,  0.4670421 ]), array([-0.55822363,  1.44172584])]","[array([0.11329578, 0.08715674]), array([-0.22926131,  0.47915875]), array([0.11329578, 0.08715674]), array([-0.22926131,  0.47915875])]",22,"[13, 345, 407]","[13, 345, 407]",432,3,0.2,0.012100000000000003,0.2,7.6000000000000005,0.01,Scipy
"[array([0.62349941, 0.02803776]), array([-0.05001079,  0.4666941 ]), array([-0.55822363,  1.44172585])]","[array([0.42965194, 0.54274462]), array([-0.50491382,  0.06078626]), array([0.42965194, 0.54274462]), array([-0.50491382,  0.06078626])]",6,"[101, 241, 719]","[101, 241, 719]",480,1,0.2,0.012100000000000003,0.1,3.8000000000000003,0.55,FIRE
